1,1,279.47,27.73,171.66,78.87,1,5,1
1,2,461.87,44.80,303.93,135.40,1,5,1
1,3,288.00,85.33,81.00,44.74,1,3,1
1,4,433.07,117.33,117.26,59.67,1,3,1
1,5,762.67,195.20,198.33,102.33,1,3,1
2,1,278.61,27.95,171.03,79.08,1,5,1
2,2,460.59,45.44,302.86,134.12,1,5,1
2,3,283.73,85.33,80.58,44.31,1,3,1
2,4,427.52,116.69,115.56,59.03,1,3,1
2,5,750.08,192.00,210.92,100.84,1,3,1
3,1,277.76,28.16,170.39,79.29,1,5,1
3,2,459.31,46.08,301.80,132.84,1,5,1
3,3,279.47,85.33,80.14,43.88,1,3,1
3,4,421.97,116.05,113.86,58.39,1,3,1
3,5,737.49,188.80,203.24,99.35,1,3,1
4,1,276.91,28.37,169.74,79.51,1,5,1
4,2,458.03,46.72,300.73,131.56,1,5,1
4,3,275.20,85.33,79.72,43.46,1,3,1
4,4,416.43,115.41,112.14,57.75,1,3,1
4,5,724.91,185.60,204.09,97.85,1,3,1
5,1,276.05,28.59,169.11,79.72,1,5,1
5,2,456.75,47.36,299.66,130.28,1,5,1
5,3,270.93,85.33,79.30,43.03,1,3,1
5,4,410.88,114.77,110.44,57.11,1,3,1
5,5,712.32,182.40,204.95,96.36,1,3,1
6,1,275.20,28.80,168.47,79.93,1,5,1
6,2,455.47,48.00,298.60,129.00,1,5,1
6,3,266.67,85.33,78.86,42.60,1,3,1
6,4,405.33,114.13,108.74,56.47,1,3,1
6,5,699.73,179.20,205.80,94.87,1,3,1
7,1,274.35,29.01,168.68,79.51,1,5,1
7,2,453.97,47.57,297.32,129.43,1,5,1
7,3,263.68,84.69,77.16,41.96,1,3,1
7,4,400.85,113.49,107.24,55.83,1,3,1
7,5,688.64,176.43,201.96,93.58,1,3,1
8,1,273.49,29.23,168.90,79.08,1,5,1
8,2,452.48,47.15,296.04,129.85,1,5,1
8,3,260.69,84.05,75.46,41.32,1,3,1
8,4,396.37,112.85,105.75,55.19,1,3,1
8,5,677.55,173.65,198.12,92.31,1,3,1
9,1,272.64,29.44,169.11,78.65,1,5,1
9,2,450.99,46.72,294.76,130.28,1,5,1
9,3,257.71,83.41,73.74,40.68,1,3,1
9,4,391.89,112.21,104.26,54.55,1,3,1
9,5,666.45,170.88,194.28,91.03,1,3,1
10,1,271.79,29.65,169.32,78.23,1,5,1
10,2,449.49,46.29,293.48,130.71,1,5,1
10,3,254.72,82.77,72.04,40.04,1,3,1
10,4,387.41,111.57,102.76,53.91,1,3,1
10,5,655.36,168.11,190.44,89.74,1,3,1
11,1,270.93,29.87,169.54,77.80,1,5,1
